Date,Close,,Date,Close,,Date,Close
21/07/2025 23:58:00,118429.2,,20/07/2025 23:58:00,3594.5704,,20/07/2025 23:58:00,177.0675
22/07/2025 23:58:00,117213.8,,21/07/2025 23:58:00,3759.5285,,21/07/2025 23:58:00,181.5695
23/07/2025 23:58:00,118637.6,,22/07/2025 23:58:00,3763.3644,,22/07/2025 23:58:00,195.9965
24/07/2025 23:58:00,118580.6,,23/07/2025 23:58:00,3748.7085,,23/07/2025 23:58:00,205.6846
25/07/2025 23:58:00,115420.2,,24/07/2025 23:58:00,3629.3296,,24/07/2025 23:58:00,189.5083
26/07/2025 23:58:00,117570.6,,25/07/2025 23:58:00,3707.1296,,25/07/2025 23:58:00,182.6874
27/07/2025 23:58:00,118208.3,,26/07/2025 23:58:00,3726.0089,,26/07/2025 23:58:00,186.7854
28/07/2025 23:58:00,119283.7,,27/07/2025 23:58:00,3742.1645,,27/07/2025 23:58:00,184.9125
29/07/2025 23:58:00,118757.1,,28/07/2025 23:58:00,3874.6976,,28/07/2025 23:58:00,188.7386
30/07/2025 23:58:00,118176.2,,29/07/2025 23:58:00,3795.9018,,29/07/2025 23:58:00,182.6397
31/07/2025 23:58:00,118454.4,,30/07/2025 23:58:00,3793.1021,,30/07/2025 23:58:00,181.3464
01/08/2025 23:58:00,115672.4,,31/07/2025 23:58:00,3808.8875,,31/07/2025 23:58:00,177.7008
02/08/2025 23:58:00,113941.1,,01/08/2025 23:58:00,3697.7407,,01/08/2025 23:58:00,172.3796
03/08/2025 23:58:00,113730.6,,02/08/2025 23:58:00,3486.9697,,02/08/2025 23:58:00,162.8707
04/08/2025 23:58:00,114696.1,,03/08/2025 23:58:00,3392.9631,,03/08/2025 23:58:00,158.4767
05/08/2025 23:58:00,114348.2,,04/08/2025 23:58:00,3497.2822,,04/08/2025 23:58:00,161.9623
06/08/2025 23:58:00,113574.9,,05/08/2025 23:58:00,3720.3463,,05/08/2025 23:58:00,169.44
07/08/2025 23:58:00,114485.2,,06/08/2025 23:58:00,3611.8177,,06/08/2025 23:58:00,164.0958
08/08/2025 23:58:00,116770.3,,07/08/2025 23:58:00,3683.6838,,07/08/2025 23:58:00,168.1705
09/08/2025 23:58:00,116364.7,,08/08/2025 23:58:00,3912.5898,,08/08/2025 23:58:00,175.4855
10/08/2025 23:58:00,118231.9,,09/08/2025 23:58:00,4009.8132,,09/08/2025 23:58:00,176.7726
11/08/2025 23:58:00,121660.9,,10/08/2025 23:58:00,4263.3621,,10/08/2025 23:58:00,180.1779
12/08/2025 23:58:00,118849,,11/08/2025 23:58:00,4251.6856,,11/08/2025 23:58:00,182.8768
